submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
01/18/2021,PA,779671,687773.0,91898.0,3988,429.0,19390,0.0,0.0,80,63.0,Agree,Not agree,Pennsylvania
04/17/2020,NE,1166,0.0,0.0,98,0.0,24,0.0,0.0,0,0.0,Not agree,Not agree,Nebraska
09/08/2020,RI,22307,0.0,0.0,27,0.0,1090,0.0,0.0,1,0.0,Not agree,0,Rhode Island
08/24/2020,RI,21225,0.0,0.0,54,0.0,1067,0.0,0.0,1,0.0,Not agree,0,Rhode Island
05/12/2021,AR,338043,0.0,0.0,224,91.0,5777,0.0,0.0,7,6.0,Not agree,Not agree,Arkansas
04/01/2021,AK,60768,0.0,0.0,230,0.0,340,0.0,0.0,0,0.0,0,0,Alaska
07/31/2021,NC,1059414,897897.0,161517.0,3557,647.0,13749,12120.0,1629.0,14,1.0,Agree,Agree,North Carolina
10/05/2020,WV,16742,16251.0,491.0,114,-5.0,361,0.0,0.0,3,0.0,Agree,Not agree,West Virginia
05/28/2021,CO,547899,509891.0,38008.0,687,72.0,6552,5777.0,775.0,7,0.0,Agree,Agree,Colorado
12/13/2020,CT,146761,137791.0,8970.0,0,0.0,5363,4332.0,1031.0,0,0.0,Agree,Agree,Connecticut
07/08/2020,NC,86237,86020.0,217.0,2812,23.0,1572,1572.0,0.0,14,0.0,Agree,Agree,North Carolina
09/18/2021,MT,140254,122508.0,17746.0,542,134.0,1880,1880.0,0.0,3,0.0,Agree,Agree,Montana
09/18/2021,LA,726701,0.0,0.0,1064,239.0,13435,11910.0,1525.0,17,4.0,Not agree,Agree,Louisiana
07/20/2020,NM,17215,0.0,0.0,244,0.0,628,0.0,0.0,10,1.0,0,Not agree,New Mexico
09/16/2021,ID,239533,190572.0,48961.0,1218,318.0,2600,2227.0,373.0,40,15.0,Agree,Agree,Idaho
06/06/2021,OR,203252,203252.0,0.0,257,0.0,2694,2694.0,0.0,3,0.0,Agree,Agree,Oregon
03/09/2020,RI,3,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,Not agree,0,Rhode Island
01/30/2020,IN,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Not agree,Agree,Indiana
07/21/2021,NM,207972,0.0,0.0,271,0.0,4426,0.0,0.0,2,0.0,0,Not agree,New Mexico
01/18/2021,IN,593138,0.0,0.0,2510,0.0,11297,10922.0,375.0,74,0.0,Not agree,Agree,Indiana
07/01/2021,ME,69069,50519.0,18550.0,15,2.0,860,829.0,31.0,1,0.0,Agree,Agree,Maine
06/27/2021,MS,321734,196851.0,124883.0,175,97.0,7473,5154.0,2319.0,2,0.0,Agree,Agree,Mississippi
08/01/2020,OR,18817,18817.0,0.0,324,-952.0,325,325.0,0.0,3,-6.0,Agree,Agree,Oregon
04/20/2020,NV,3830,3830.0,0.0,102,0.0,164,0.0,0.0,7,6.0,Agree,0,Nevada
01/25/2021,KY,358806,281151.0,77655.0,2824,1170.0,5923,5312.0,611.0,34,5.0,Agree,Agree,Kentucky
06/06/2021,MA,708083,662154.0,45929.0,143,17.0,17911,17548.0,363.0,4,0.0,Agree,Agree,Massachusetts
10/29/2020,HI,14841,0.0,0.0,7,0.0,214,0.0,0.0,1,0.0,Not agree,Not agree,Hawaii
09/23/2020,NE,42351,0.0,0.0,496,0.0,462,0.0,0.0,1,0.0,Not agree,Not agree,Nebraska
06/26/2020,TN,44808,44515.0,293.0,1458,15.0,600,574.0,26.0,9,1.0,Agree,Agree,Tennessee
07/05/2021,CA,3882474,3727994.0,154480.0,1810,119.0,63786,63786.0,0.0,13,0.0,Agree,Agree,California
04/09/2020,TX,10230,0.0,0.0,877,0.0,322,0.0,0.0,33,0.0,Not agree,Not agree,Texas
05/07/2020,ME,1374,1264.0,110.0,120,30.0,62,62.0,0.0,0,0.0,Agree,Agree,Maine
05/13/2020,MO,10834,0.0,0.0,247,0.0,697,0.0,0.0,20,0.0,Not agree,Not agree,Missouri
03/16/2020,KY,44,39.0,5.0,7,1.0,1,1.0,0.0,0,0.0,Agree,Agree,Kentucky
07/26/2020,WI,52680,48827.0,3853.0,965,8.0,899,892.0,7.0,1,0.0,Agree,Agree,Wisconsin
08/21/2020,IL,217346,215929.0,1417.0,2293,85.0,8066,7857.0,209.0,22,-2.0,Agree,Agree,Illinois
07/13/2020,DC,10906,0.0,0.0,59,0.0,568,0.0,0.0,0,0.0,0,0,District of Columbia
03/06/2021,NY,938986,0.0,0.0,3568,0.0,18201,0.0,0.0,35,0.0,Not agree,Not agree,New York
09/16/2021,LA,723458,0.0,0.0,1663,639.0,13366,11855.0,1511.0,48,14.0,Not agree,Agree,Louisiana
03/23/2020,NC,956,955.0,1.0,73,1.0,2,2.0,0.0,1,0.0,Agree,Agree,North Carolina
03/14/2021,OH,989191,843289.0,145902.0,893,230.0,18036,18036.0,0.0,0,0.0,Agree,Agree,Ohio
05/11/2020,MT,459,459.0,0.0,1,0.0,16,16.0,0.0,0,0.0,Agree,Agree,Montana
05/20/2020,LA,35439,0.0,0.0,278,0.0,2608,2485.0,123.0,27,0.0,Not agree,Agree,Louisiana
06/23/2021,KY,463523,348759.0,114764.0,196,70.0,7347,6587.0,760.0,2,0.0,Agree,Agree,Kentucky
08/24/2021,SD,129411,0.0,0.0,785,64.0,2057,1679.0,378.0,0,0.0,0,Agree,South Dakota
07/29/2020,WA,54984,0.0,0.0,782,25.0,1554,0.0,0.0,6,0.0,0,0,Washington
05/04/2020,CO,17419,15613.0,1806.0,247,29.0,851,712.0,139.0,9,2.0,Agree,Agree,Colorado
07/13/2020,ME,3566,3168.0,398.0,8,-1.0,114,113.0,1.0,0,0.0,Agree,Agree,Maine
05/01/2020,GA,26176,26165.0,11.0,935,0.0,1167,1167.0,0.0,56,0.0,Agree,Agree,Georgia
05/11/2021,CT,343954,315169.0,28785.0,409,133.0,8156,6716.0,1440.0,2,0.0,Agree,Agree,Connecticut
11/22/2020,RI,50112,0.0,0.0,740,0.0,1334,0.0,0.0,10,0.0,Not agree,0,Rhode Island
11/22/2020,NJ,331141,0.0,0.0,4427,459.0,16761,14949.0,1812.0,15,0.0,Not agree,Agree,New Jersey
03/21/2020,ME,70,0.0,0.0,14,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Maine
06/23/2020,CT,45899,43941.0,1958.0,117,-4.0,4277,3414.0,863.0,14,3.0,Agree,Agree,Connecticut
07/31/2021,AZ,927235,854500.0,72735.0,2066,313.0,18246,16265.0,1981.0,22,2.0,Agree,Agree,Arizona
03/29/2020,MO,1928,0.0,0.0,134,0.0,23,0.0,0.0,3,0.0,Not agree,Not agree,Missouri
05/26/2021,NM,202570,0.0,0.0,165,0.0,4328,0.0,0.0,8,0.0,0,Not agree,New Mexico
07/26/2020,ND,5986,5986.0,0.0,110,0.0,99,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
01/31/2021,PA,850949,739953.0,110996.0,3958,453.0,21602,0.0,0.0,0,-8.0,Agree,Not agree,Pennsylvania
07/11/2021,VA,682673,530886.0,151787.0,121,53.0,11450,9665.0,1785.0,0,0.0,Agree,Agree,Virginia
05/10/2020,OR,3228,3171.0,57.0,68,57.0,127,127.0,0.0,0,0.0,Agree,Agree,Oregon
05/02/2021,OR,186344,186344.0,0.0,747,0.0,2501,2501.0,0.0,3,0.0,Agree,Agree,Oregon
05/19/2020,MI,87181,81002.0,6179.0,2690,274.0,5558,5264.0,294.0,41,0.0,Agree,Agree,Michigan
08/03/2020,MO,58281,0.0,0.0,1449,28.0,1430,0.0,0.0,18,0.0,Not agree,Not agree,Missouri
04/23/2020,MS,6670,6643.0,27.0,235,0.0,471,470.0,1.0,17,0.0,Agree,Agree,Mississippi
07/12/2020,NC,94116,93806.0,310.0,994,13.0,1642,1641.0,1.0,17,0.0,Agree,Agree,North Carolina
07/21/2020,WA,48586,0.0,0.0,840,1.0,1465,0.0,0.0,12,0.0,0,0,Washington
10/30/2020,NV,99786,99786.0,0.0,1232,0.0,1777,0.0,0.0,8,0.0,Agree,0,Nevada
10/18/2021,ND,142407,122955.0,19452.0,923,429.0,1690,0.0,0.0,10,0.0,Agree,Not agree,North Dakota
03/12/2020,AK,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,Alaska
08/17/2020,MD,101235,0.0,0.0,520,0.0,3767,3620.0,147.0,8,0.0,0,Agree,Maryland
01/30/2020,ND,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
08/15/2020,DE,16440,15483.0,957.0,57,0.0,593,524.0,69.0,0,0.0,Agree,Agree,Delaware
07/29/2021,KS,331932,267012.0,64920.0,1000,208.0,5247,0.0,0.0,0,0.0,Agree,0,Kansas
09/20/2021,CA,4654608,4449252.0,205356.0,5247,410.0,69160,69160.0,0.0,106,0.0,Agree,Agree,California
04/20/2021,DE,102636,95993.0,6643.0,292,32.0,1603,1462.0,141.0,1,0.0,Agree,Agree,Delaware
02/03/2020,TX,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Not agree,Not agree,Texas
01/06/2021,OH,742817,662217.0,80600.0,7814,2178.0,9368,8443.0,925.0,121,30.0,Agree,Agree,Ohio
05/23/2021,UT,404477,404477.0,0.0,231,0.0,2290,2220.0,70.0,0,0.0,Agree,Agree,Utah
08/31/2020,NE,34362,0.0,0.0,247,0.0,397,0.0,0.0,5,0.0,Not agree,Not agree,Nebraska
03/25/2020,IL,1865,0.0,0.0,330,0.0,19,0.0,0.0,3,0.0,Agree,Agree,Illinois
05/30/2020,AL,20687,20332.0,355.0,390,5.0,856,799.0,57.0,15,0.0,Agree,Agree,Alabama
09/12/2020,IA,73697,0.0,0.0,627,95.0,1217,0.0,0.0,5,0.0,Not agree,Not agree,Iowa
11/02/2020,TN,271154,255353.0,15801.0,1356,177.0,3666,3426.0,240.0,32,6.0,Agree,Agree,Tennessee
05/16/2021,NJ,1010759,882973.0,127786.0,269,46.0,25961,23313.0,2648.0,9,0.0,Agree,Agree,New Jersey
01/23/2020,WV,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,West Virginia
05/22/2020,TN,20817,20690.0,127.0,526,4.0,370,350.0,20.0,8,0.0,Agree,Agree,Tennessee
08/09/2020,HI,3608,0.0,0.0,140,0.0,31,0.0,0.0,0,0.0,Not agree,Not agree,Hawaii
04/04/2021,MS,306908,188520.0,118388.0,107,42.0,7211,4984.0,2227.0,3,1.0,Agree,Agree,Mississippi
08/30/2021,NE,244175,0.0,0.0,1119,0.0,2319,0.0,0.0,4,0.0,Not agree,Not agree,Nebraska
07/31/2021,KS,333500,268371.0,65129.0,567,0.0,5258,0.0,0.0,3,0.0,Agree,0,Kansas
06/26/2021,MS,321559,196773.0,124786.0,84,40.0,7471,5152.0,2319.0,1,0.0,Agree,Agree,Mississippi
08/25/2020,ID,30465,28322.0,2143.0,395,62.0,326,293.0,33.0,12,4.0,Agree,Agree,Idaho
05/12/2021,HI,33762,0.0,0.0,39,0.0,486,0.0,0.0,1,0.0,Not agree,Not agree,Hawaii
06/24/2021,MA,709622,663478.0,46144.0,78,0.0,17986,17622.0,364.0,4,0.0,Agree,Agree,Massachusetts
05/02/2020,ME,1152,1152.0,0.0,29,0.0,56,56.0,0.0,1,0.0,Agree,Agree,Maine
01/01/2021,DC,29252,0.0,0.0,269,0.0,788,0.0,0.0,2,0.0,0,0,District of Columbia
03/30/2021,MI,792024,713330.0,78694.0,6813,871.0,17266,16228.0,1038.0,43,1.0,Agree,Agree,Michigan
01/01/2021,CA,2563816,2482308.0,81508.0,56491,2540.0,32887,32887.0,0.0,622,0.0,Agree,Agree,California
02/14/2021,VT,12706,0.0,0.0,117,3.0,191,0.0,0.0,0,0.0,Not agree,Not agree,Vermont
04/13/2021,ID,183910,147614.0,36296.0,219,76.0,2000,1742.0,258.0,4,0.0,Agree,Agree,Idaho
03/28/2020,WY,84,0.0,0.0,11,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Wyoming
09/01/2020,NM,25460,0.0,0.0,108,0.0,821,0.0,0.0,3,0.0,0,Not agree,New Mexico
03/01/2020,MD,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,Agree,Maryland
