submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
09/01/2021,ND,118491,107475.0,11016.0,536,66.0,1562,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
02/24/2020,ND,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
11/03/2020,ND,48301,48301.0,0.0,1114,0.0,568,0.0,0.0,12,0.0,Agree,Not agree,North Dakota
07/19/2020,ND,5126,5126.0,0.0,107,0.0,93,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
10/18/2021,ND,142407,122955.0,19452.0,923,429.0,1690,0.0,0.0,10,0.0,Agree,Not agree,North Dakota
08/25/2020,ND,10467,10467.0,0.0,238,0.0,138,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
08/15/2021,ND,113330,103299.0,10031.0,53,-11.0,1545,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
06/04/2020,ND,2706,2706.0,0.0,27,0.0,66,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
12/10/2020,ND,87213,85206.0,2007.0,506,35.0,1130,0.0,0.0,27,0.0,Agree,Not agree,North Dakota
02/25/2021,ND,99711,94530.0,5181.0,90,19.0,1442,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
10/23/2020,ND,36874,36874.0,0.0,935,0.0,448,0.0,0.0,8,0.0,Agree,Not agree,North Dakota
10/11/2021,ND,138902,120783.0,18119.0,951,443.0,1652,0.0,0.0,10,0.0,Agree,Not agree,North Dakota
05/04/2020,ND,1225,1225.0,0.0,34,0.0,25,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
06/11/2020,ND,2980,2980.0,0.0,39,0.0,74,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
01/27/2021,ND,97305,93074.0,4231.0,145,38.0,1417,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
10/31/2020,ND,45043,45043.0,0.0,1127,0.0,531,0.0,0.0,7,0.0,Agree,Not agree,North Dakota
09/22/2021,ND,127912,113603.0,14309.0,629,254.0,1595,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
03/09/2021,ND,100615,95029.0,5586.0,101,69.0,1452,0.0,0.0,3,0.0,Agree,Not agree,North Dakota
02/28/2021,ND,99852,94623.0,5229.0,43,10.0,1445,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
